,"Math","English","Spanish Translation",
0,"=image(""https://equatio-api.texthelp.com/svg/%5Cpi%5Capprox3.14159"")","pi almost-equals 3.14159","pi aproximado 3,14159",
1,"102+2,214+15=2,331","102 plus 2,214 plus 15 equals 2,331","102 más 2214 más 15 igual 2331",
2,"59×0=0","59 times 0 equals 0","59 por 0 igual 0",
3,"=image(""https://equatio-api.texthelp.com/svg/3--2"")","3 minus negative 2","3 menos menos 2",
4,"-y","negative y","menos y",
5,-32,"negative 32","menos 32",
6,"t2e4","Number t 2 e 4","número t 2 e 4",
7,"#FF0000","Number number-sign F F 0 0 0 0","número almuhadilla F F 0 0 0 0",
8,"0x15FF+0x2B01=0x4100","Number 0 x 1 5 F F plus Number 0 x 2 B 0 1 equals Number 0 x 4 1 0 0","número 0 x 1 5 F F más número 0 x 2 B 0 1 igual número 0 x 4 1 0 0",
9,"I,II,III,IV,V.","upper I comma UpperWord I I comma UpperWord I I I comma UpperWord I V comma 
upper V period","mayúscula I coma mayúscula I I coma mayúscula I I I coma mayúscula I V coma mayúscula V punto",
10,"=image(""https://equatio-api.texthelp.com/svg/d%3D%5Csqrt%7B%5Cleft(X-x%5Cright)%5E2-%5Cleft(Y-y%5Cright)%5E2%7D"")","d equals StartRoot left-parenthesis upper X minus x right-parenthesis 
squared minus left-parenthesis upper Y minus y right-parenthesis squared 
EndRoot","d igual empezar raíz cuadrada paréntesis izquierdo mayúscula X menos x paréntesis derecho al cuadrado menos paréntesis izquierdo mayúscula Y menos y paréntesis derecho al cuadrado finalizar raíz cuadrada",
11,"If A→B and B→C then A→C.","If upper A right-arrow upper B and upper B right-arrow upper C then upper A 
right-arrow upper C period","Si mayúscula A flecha derecha mayúscula B y mayúscula B flecha derecha mayúscula C entonces mayúscula A flecha derecha mayúscula C punto",
12,"[x]","bold left-bracket x bold right-bracket","negrita corchete izquierdo x negrita corchete derecho",
13,"=image(""https://equatio-api.texthelp.com/svg/%5Coint%20E%5Ccdot%20d%5Cmathbf%7Bl%7D%3D-%5Cfrac%7Bd%5CPhi%20B%7D%7Bdt%7D"")","contour-integral upper E dot d bold l equals minus StartFraction d upper 
Phi upper B Over d t EndFraction","integral de contorno mayúscula E punto medio d negrita l igual menos empezar fracción d mayúscula Phi mayúscula B entre d t finalizar fracción",
14,"=image(""https://equatio-api.texthelp.com/svg/-%5Cfrac%7B1%7D%7Bb%7D"")","minus StartFraction 1 Over b EndFraction","menos empezar fracción 1 entre b finalizar fracción",
15,"=image(""https://equatio-api.texthelp.com/svg/-%5Cfrac%7Ba%7D%7Bb%7D"")","minus StartFraction a Over b EndFraction","menos empezar fracción a entre b finalizar fracción",
16,"=image(""https://equatio-api.texthelp.com/svg/-3%5Cfrac%7B1%7D%7B2%7D"")","negative 3 and one-half","menos 3 más empezar fracción 1 entre 2 finalizar fracción",
17,"Uppercase({α,β,γ,δ,ϵ,φ})={Α,Β,Γ,Δ,Ε,Φ}","Uppercase left-parenthesis StartSet alpha comma beta comma gamma comma 
delta comma epsilon comma phi EndSet right-parenthesis equals StartSet 
upper Alpha comma upper Beta comma upper Gamma comma upper Delta comma 
upper Epsilon comma upper Phi EndSet","mayúscula paréntesis izquierdo empezar llave alfa coma beta coma gamma coma delta coma epsilon coma phi finalizar llave paréntesis izquierdo igual empezar llave mayúscula Alfa coma mayúscula Beta coma mayúscula Gamma coma mayúscula Delta coma mayúscula Epsilon coma mayúscula Phi finalizar llave",
18,"y-1","y minus 1","y menos 1",
19,"(1-to-1)","left-parenthesis 1 hyphen to hyphen 1 right-parenthesis","paréntesis izquierdo 1 a 1 paréntesis derecho","X"
20,-1,"negative 1","menos 1",
21,"The Fibonacci numbers are: {0,1,1,2,3,5,8,…}","The Fibonacci numbers are colon StartSet 0 comma 1 comma 1 comma 2 comma 3 
comma 5 comma 8 comma ellipsis EndSet","los números de Fibonacci son dos puntos empezar llave 0 coma 1 coma 1 coma 2 coma 3 coma 5 coma 8 coma puntos suspensivos finalizar llave",
22,"|4-7|=3","StartAbsoluteValue 4 minus 7 EndAbsoluteValue equals 3","empezar valor absoluto 4 menos 7 finalizar valor absoluto igual 3",
