Enclose Type,English,Swedish
,,
longdiv,long division,lång division
actuarial,actuarial symbol,aktuariell symbol
radical,square root,kvadratrot
box,box,låda
roundedbox,rounded box,rundad låda
circle,circle,cirkel
left,left vertical-line,vänster vertikal linje
right,right vertical-line,höger vertikal linje
top,overbar,överstreck
bottom,underbar,understreck
updiagonalstrike,crossout,genomstruken
downdiagonalstrike,crossout,genomstruken
verticalstrike,vertical strikeout,vertikal genomstuckning
horizontalstrike,crossout,genomstruken
madruwb,Arabic factorial symbol,arabisk fakultetssymbol
updiagonalarrow,diagonal arrow,diagonal pil
phasorangle,phasor angle,visarvinkel
unknown,unknown,okänd
