Enumerator Value,Ordinal English,Ordinal Swedish
,,
1,first,första 
2,second,andra
3,third,tredje
4,fourth,fjärde
5,fifth,femte
6,sixth,sjätte
7,seventh,sjunde
8,eighth,åttonde
9,ninth,nionde
10,tenth,tioende
11,eleventh,elfte
12,twelfth,tolfte
13,thirteenth,trettonde
14,fourteenth,fjortonde
15,fifteenth,femtonde
16,sixteenth,sextonde
17,seventeenth,sjuttonde
18,eighteenth,artonde
19,nineteenth,nittonde
20,twentieth,tjugonde 
21,twenty-first,tjugoförsta
22,twenty-second,tjugoandra
, ,
30,thirtieth,trettionde
, ,
40,fortieth,fyrtioende
, ,
50,fiftieth,femtionde
, ,
60,sixtieth,sextionde
, ,
70,seventieth,sjuttionde
, ,
80,eightieth,åttionde
, ,
90,ninetieth,nittionde
, ,
100,one-hundredth,etthundrade
, ,
200,two-hundredth,tvåhundrade
, ,
300,three-hundredth,trehundrade
, ,
400,four-hundredth,fyrhundrade
, ,
500,five-hundredth,femhundrade
, ,
600,six-hundredth,sexhundrade
, ,
700,seven-hundredth,sjuhundrade
, ,
800,eight-hundredth,åttahundrade
, ,
900,nine-hundredth,niohundrade
, ,
1000,one-thousandth,tusende
